customer_tweet_id,customer_message,support_tweet_id,support_response,created_at,historical_intent
476495,@Uber_Support what a fuck is upfront fare adjustment? Uber is stolen money from riders with this shit.,476494,"@216010 Here to help! Send us a note here, https://t.co/593jusCquh, and our team will follow up.",Fri Dec 01 04:50:18 +0000 2017,fare_or_charge_issue
1798955,@115877 are an absolute joke. Worst service I’ve ever received,1798954,@540541 We're so sorry this was your experience. Please send us a DM with your email address so we can connect.,Sat Oct 28 14:51:35 +0000 2017,other_support_issue
917210,@Uber_Support my ubereats app hasn’t worked in months. I’ve called your support line 3+ times and has been told the ticket but no resolution,917209,"@337756 Here to help, Alvin! We see your DM and will be in touch shortly.",Fri Oct 13 17:53:10 +0000 2017,uber_eats_issue
1944153,Alright ive officially switched to @115879. @115873 customer service is like emailing a wall,1944152,@577971 We're here to help! Send us a DM with your email address and more details so we can follow up.,Mon Oct 30 01:47:33 +0000 2017,other_support_issue
2866567,@115873 I’m trying to place an order but the app is asking for verification by text but I’m not receiving any messages. I’ve tried several times and also tried to change my phone number but nothing. #mercy,2866566,"@143209 Here to help! Send us a note here, https://t.co/dwDjAokZht, and our team will be in touch.",Tue Nov 28 00:39:02 +0000 2017,uber_eats_issue
1561827,@Uber_Support Is no one taking the time to connect the dots or is it normal practice to pass ppl back and forth?! I'll take it to @10686,1561828,"@482463 We just reached out a few minutes ago, Candice. Please respond to Matt's message at your earliest convenience. We'll work with you there.",Sat Oct 28 22:24:11 +0000 2017,other_support_issue
1344718,"@115873 always pay their drivers half to the tolls. And when u escalate it to them, they will pretend you didn’t go a toll. They steal money!",1344716,@138105 We apologize for the trouble! We're currently reviewing your email and will connect right away.,Fri Oct 27 16:29:10 +0000 2017,driver_issue
2424698,@Uber_Support Already replied with the story and email. Awaiting your response,2424700,@696296 We have followed up via DM.,Tue Nov 14 19:26:32 +0000 2017,other_support_issue
1977583,@Uber_Support how soon can someone help me cause I need to go somewhere. I can't wait any longer Im just going to use lyft,1977585,"@585609 We appreciate your patience, Kerriann. Inquiries are responded to in the order they're received in. Someone will be in touch soon.",Wed Nov 01 20:35:15 +0000 2017,other_support_issue
1374674,@Uber_Support pls DM me about a £5 driver initiated cancellation charge 15th Oct. Thx,1374673,@439975 We have looked into your account and show no cancellations on the 15th of October. Please DM us with more details and we'll look into it.,Fri Oct 27 23:20:44 +0000 2017,cancellation_issue
1085801,Bro why can’t I sign into my account ? @115873,1085800,@376133 Here to help. Kindly send a note here: https://t.co/Md7v036OoC so we can connect.,Fri Oct 13 17:22:36 +0000 2017,account_access_issue
2572666,I tried to give my driver 5 stars and the app would only let me give him two stars how can I change the rating? @Uber_Support,2572665,"@729629 Here to help! For more info about how to change the rating of your driver, please click here: https://t.co/M1RhRwgiRE",Mon Oct 30 17:22:17 +0000 2017,driver_issue
2347973,@Uber_Support thank you,2347974,@678784 It seems a member of our team has reached out to you. Please check your email and follow up with them there.,Mon Nov 13 21:03:33 +0000 2017,other_support_issue
642082,@115873 gonna charge me a $5 cancellation fee. 🤔 https://t.co/V0QJ6kSWp2,642081,@272382 We're here to help! Please send us a note via https://t.co/xguILK85B3 so we can connect.,Wed Nov 22 20:27:35 +0000 2017,cancellation_issue
816493,@Uber_Support You always sorry about every time. Sometimes please take actions too. #Uber #BadService,816495,@314439 We'd be happy to look into this for you. Please DM us your Uber account email address so we can follow up. https://t.co/sd7yH5jmbJ,Thu Oct 12 16:58:16 +0000 2017,other_support_issue
1198599,My @115873 Pool said it would be here 5min ago 15min ago and then has been 10min away.  Yup that’s #Dodgers traffic for ya. Not moving.☹️ https://t.co/oqjkjz4mHT,1198598,@401625 Hi Luis! Please write in to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Wed Oct 25 04:01:31 +0000 2017,other_support_issue
207251,@Uber_Support I have been charged $335 for a trip that usually costs me well under $30. Have tried getting help from you but no response,207250,"@165030 Let's take a closer look at this for you, Matt. Please DM us your email address, we'll follow up: https://t.co/6v96p5e65s.",Fri Oct 06 21:55:03 +0000 2017,fare_or_charge_issue
268818,.@115873 driver was one block away called to confirm drop-off location and then cancelled my ride will now be late for a business dinner. Thnx,268816,@180094 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.,Fri Oct 06 00:43:12 +0000 2017,cancellation_issue
899591,"@Uber_Support Driver ignored my message, then sped past me while I was frantically jumping and waving. I want a REFUND not credit to my account.
@2780",899593,"@333577 Sorry to hear about this experience, Holly. Send us additional details, along with your account email so our team can follow up with you.",Sat Oct 21 12:48:17 +0000 2017,account_access_issue
1498366,@115873 how do I go about loosing my phone in my Uber last night?,1498365,@197478 Find out more about contacting your driver here; https://t.co/rOtqyWzf0B,Sat Oct 28 21:26:25 +0000 2017,other_support_issue
763713,@115873 charged me $50 to go 0.7miles. Uber’s reply charge was correct. #WednesdayWidsom #buyerbeware #808news #uber #ubered https://t.co/o4LGv2Ougt,763711,@302510 We're so sorry about that! Please send us a DM with your email address with details so we can connect.,Wed Oct 11 21:20:16 +0000 2017,fare_or_charge_issue
1521648,@115873 I’m waiting on my ride and it keeps changing time frame,1521647,"@472960 We're here to help! Send us a note here, https://t.co/e8HVorX5rh and our team will be in touch.",Fri Nov 03 20:42:43 +0000 2017,trip_issue
988369,"@Uber_Support getting error while booking cab "" there was an error processing your request."" Kindly look into it",988368,"@354169 Let's take a look, Sushil! Please reach out at https://t.co/41EELWKjnd and we'll follow up.",Sat Oct 14 06:11:03 +0000 2017,app_or_technical_issue
317521,@11590 @116288 @Uber_Support in app help section is not responding. Where should I raise a concern?,317520,"@191779 Sorry for the trouble, Debjeet. We have sent this over to the appropriate team. Be on the lookout for an update coming your way. Thank you.",Thu Oct 05 10:07:13 +0000 2017,app_or_technical_issue
1264642,"@Uber_Support Kindly visit ur inbox, i hve provided the necessary documents as per ur requirement.

email id: __email__",1264643,@415736 We've sent you a DM.,Thu Oct 26 15:00:15 +0000 2017,other_support_issue
508782,@Uber_Support I have already sent two messages through the app and nobody has responded to me,508780,@236852 We're here to help! Send us a DM with your email address so we can assist.,Fri Dec 01 22:16:59 +0000 2017,app_or_technical_issue
929611,"@115873 received a promo credit at an event, no stipulations on card about new users, yet I can't use the promo. 

What's up Uber? Annoyed",929610,@340559 We're sorry to hear this was your experience. Contact us via https://t.co/O1dsjntprg and we'll be in touch.,Sat Oct 21 21:17:45 +0000 2017,payment_issue
820705,@115873 when are we going to have Uberpool in Dallas?! https://t.co/zQi5iWGK1j,820703,"@315486 For more info about Uber availability in your city, click here; https://t.co/AvfPZNUXW2",Thu Oct 12 22:22:57 +0000 2017,other_support_issue
2213501,Hey @115873 I’m getting tired of being in a car &amp; getting kicked out b/c the driver doesn’t want 2 “go over the bridge” SF to Sausalito #fixit,2213500,@646886 Here to help! Can you please contact us via https://t.co/iOszeeHZhQ so our team can assist?,Fri Nov 10 03:37:20 +0000 2017,driver_issue
1755327,@Uber_Support your uber driver hasnt ended my ride. it has been over 8 minutes and im at my location that i need to be.,1755326,@528620 Sorry to hear about that! Please send us a note here; https://t.co/WFtPA6RjWt and our team will get in touch.,Tue Nov 07 19:17:38 +0000 2017,driver_issue
1797887,@Uber_Support why can't I view my total ride history? Preparing accounting for last year and can only go back 2 months. WHY?,1797886,@540222 You can always log in to https://t.co/K9QeDZ409D to access your trip history as well. Please DM us with account info for further assistance.,Fri Oct 13 20:04:12 +0000 2017,account_access_issue
334983,@Uber_Support you guys are trash I have been wrongfully charged and you guys are difficult to reach out to. I hope you guys rot in hell.,334981,@195834 Will you please DM us with your email address associated with your account and the details of the wrong charge? We'll look into it.,Sat Oct 07 20:39:01 +0000 2017,fare_or_charge_issue
291477,@Uber_Support Hi there i was given a promo code for UberEatsdue to my last order being late: ITSOKUK but now it tells me its expired,291476,@185405 Thanks for reaching out. We have received your DM and will be connecting with you there. Keep an eye out for our message!,Fri Oct 06 16:04:56 +0000 2017,uber_eats_issue
64296,"@115873 when the driver wrongly updates as arrived and charges wait time fees, why isn't there an option to report it. Is it a uber business plan?
#Fraud #Uber",64295,@130751 We're here to help! Send us a note at https://t.co/WJq5jsdLlf so we can assist.,Thu Nov 30 08:11:20 +0000 2017,driver_issue
1568873,"@Uber_Support I'm having issues for three weeks now with my account and the Spanish support is not able to solve my issue, HELP!!!!",1568870,@484011 Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Sat Nov 04 16:32:56 +0000 2017,account_access_issue
1794765,@115873 I want a UK phone number to speak to a customer services person now just been conned,1794764,"@539318 At this moment, we don't offer phone support for these issues. We're sorry for any inconvenience. Visit this link https://t.co/balq3Eyso6.",Thu Oct 12 12:02:18 +0000 2017,other_support_issue
2300183,@115873 a driver just called me to know my destination and then cancelled the trip !!! It s not normal,2300182,"@251609 Here to help! Send us a note here, https://t.co/iOszeeHZhQ and our team will follow up.",Thu Oct 19 20:35:45 +0000 2017,cancellation_issue
1080522,@14667   Received incorrect message from uber that my 50% off 10 rides promo code didn't work because of second uber account.,1080520,@374897 Sorry for the trouble! Kindly send us a note via https://t.co/lqVgKo4ZO3 so we can help.,Mon Oct 23 19:37:10 +0000 2017,account_access_issue
2951434,@Uber_Support I want a stringent action against the driver and cab from your side,2951435,@814995 We've been in touch via DM!,Wed Nov 29 18:14:36 +0000 2017,driver_issue
2453321,How to book advance uber ride? Anyone? 😭 @115873,2453320,@702865 Happy to help! You can head over this link: https://t.co/VYt9zqEmr3 for more info about scheduling a ride in advance.,Sun Oct 29 17:48:30 +0000 2017,trip_issue
2710984,@Uber_Support check your dms,2710983,@302336 We're here to help! Send us a DM with your email address and more details so we can follow up.,Mon Nov 20 02:10:57 +0000 2017,other_support_issue
540345,"@Uber_Support Driver cancelled the Trip without Coming to location,Why You charged 47.25 then  .This is unacceptable https://t.co/QuIAQIXCfQ",540344,@245352 Here to help! Send us a note via https://t.co/e8HVorX5rh to assist you further.,Sat Dec 02 14:56:52 +0000 2017,cancellation_issue
1483050,@Uber_Support This is disgusting and stupidity to block a customer for no reasons.,1483052,@464377 Please reach back out to the support thread where we've already been in contact. We'll continue working with you there. Thanks!,Fri Nov 03 04:03:32 +0000 2017,other_support_issue
384591,Is it not possible to schedule a @115873 Van service in Paris? Only UberX showing up as an Uber option,384589,@207057 Here to help. Send us a note at https://t.co/QDn91HzZV0 so our team can connect.,Mon Oct 09 11:10:42 +0000 2017,other_support_issue
1425831,@Uber_Support Sending a note when my order should be here and is already prepared and waiting for a driver (and is now cold) doesn't help me,1425830,@451250 We're here to help! Send us a DM with your email address so we can connect.,Sun Nov 26 01:01:59 +0000 2017,uber_eats_issue
2213381,@115873 @Uber_Support I had a horrible ride.. and now when i am trying to contact UBER.. all your email ids are unsupported!!! Please can someone act on my request.. atleast acknowledge the issue from #UBER #SHAME #Unexpected https://t.co/JraDDDgcoI,2213380,@646859 We're here to help! Send us a DM with your email address so we can connect.,Fri Nov 10 04:44:51 +0000 2017,trip_issue
1005321,"please make a easy customer care for rider 
You dont know some time rider faced a very bad situation  @115873... https://t.co/yAzHLOjIFV",1005320,@342694 We're currently reviewing your email and will connect shortly. Thanks!,Sat Nov 25 16:58:31 +0000 2017,trip_issue
372937,Hey @115873 my driver was harassing me and wouldn't let me get out of the car :(,372935,@204379 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Sun Oct 08 23:45:15 +0000 2017,driver_issue
143594,@Uber_Support Lol thanks for copy pasting a link instead of using context and common sense.,143596,@148447 We're here to help! Send us a DM with your email address so we can connect.,Fri Nov 24 13:50:04 +0000 2017,other_support_issue
348021,@Uber_Support  thank you,348022,@198876 You bet! We're always here to help. Feel free to reach back out with any questions.,Sun Oct 08 16:04:22 +0000 2017,other_support_issue
987456,@Uber_Support Very poor support.😞My account has been flagged for no reason at all....,987455,@280843 Here to help! Our team is reviewing your email now and will be in touch. We appreciate your patience.,Sun Oct 22 11:53:06 +0000 2017,account_access_issue
1948654,"@Uber_Support hi guys, I've signed up for a new account and have a promo code, when I entered it it sends and email link that doesn't work",1948653,"@578950 We'll be glad to link into this, Simon. Please send us a note at https://t.co/L2aXwAc0Tb so we can connect.",Mon Oct 30 15:02:33 +0000 2017,account_access_issue
145329,@Uber_Support hello I have a problem. My account was cancel or stopped from you before 2 or 3 weeks ago I hope you help me because I really need it,145328,"@148945 Happy to assist. Please follow up with us using the link provided below and we'll be in touch.

 https://t.co/BDlHSjUF9c",Fri Nov 24 13:47:47 +0000 2017,account_access_issue
2338028,@Uber_Support Can you somehow remove my promo codes except for the 22 off your first ride code if i gave you my account email?,2338030,@676402 Promos can't be manually removed once applied. You can learn more about how promos work here; https://t.co/DjTwJTVsSb,Fri Oct 20 06:01:59 +0000 2017,account_access_issue
2876087,@115873 extremely rude driver! Left us stranded at the road. #NotCool https://t.co/TxDFclLkUt,2876086,"@798415 We're here to help! Send us a note here, https://t.co/iOszeeHZhQ and our team will be in touch.",Tue Nov 28 05:24:07 +0000 2017,driver_issue
2766444,@Uber_Support CC @116276  you guys need to improve on ur support systems plz dont cut corners.,2768371,@773657 Please fill out the form on the link provided near the bottom of the page and we'll follow up.,Tue Nov 21 10:52:24 +0000 2017,other_support_issue
50925,@Uber_Support your ride pass option to buy isnt showing up at all!!!,50924,"@126798 We see your DM and will be in touch shortly, Jake.",Wed Nov 01 17:27:40 +0000 2017,trip_issue
2422893,@Uber_Support @148768  @115877 Why was i charged for ordering the FREE Kirspy Kremes which were also cancelled by  the store?,2422892,"@695873 Sorry to hear about the trouble, Jonathan. Please DM us the email address linked to your account so we can follow up.",Tue Nov 14 15:09:46 +0000 2017,cancellation_issue
1445641,"@Uber_Support I did. They said they’d get back to me ASAP. But I mean I’m here with my 8 year old, no fam and we’re kind of stuck...",1445640,@455470 Let's take a closer look! Send us a DM with your email address so we can connect.,Thu Nov 02 15:52:29 +0000 2017,other_support_issue
2398331,@Uber_Support I sent you a DM last week regarding an issue I’m having trying to apply. Is there any other way to get in touch with someone?,2398330,@690216 Here to help. Send us a note at https://t.co/uRjsQ64qLY so our team can connect.,Tue Nov 14 13:30:41 +0000 2017,app_or_technical_issue
2411594,@Uber_Support Its not working as i am not getting any such option under tab help,2411596,@693328 Sorry to hear about the trouble! Send us a DM with your email address so we can connect.,Tue Nov 14 16:24:18 +0000 2017,app_or_technical_issue
2424728,"@148768 @115877, what a surprise it's still unavailable, been like that since 2pm #whatajoke nothing is #free #wasteoftime https://t.co/lu8Sk372Wz",2424727,@696309 We're so sorry you didn’t get your FREE Original Glazed Dozen box. Demand was through the roof and stocks ran out! Stay tuned for more fun promotions soon!,Tue Nov 14 17:57:53 +0000 2017,other_support_issue
1427185,@115873 woke up to find error message 'uber is unserviceable in area' #CustomerExperience not able to help #painful #slow,1427184,@451521 Here to help. Send us a note at https://t.co/41EELX1UeL so our team can connect.,Thu Nov 02 05:14:24 +0000 2017,app_or_technical_issue
30559,@Uber_Support  very poor service by uber.Why should i pay if a driver cancel ride without any rsn evn after cnfrming source and destination.,30558,@122725 We've followed up via DM!,Wed Nov 01 11:12:39 +0000 2017,trip_issue
2390563,@148768 @115877 We are trying order on the app and it’s not showing anymore.... @93918 @93919,2405316,"@379247 If you can’t get your free Original Glazed Dozen box, it probably means supply has ran out. Sorry.",Tue Nov 14 14:05:21 +0000 2017,uber_eats_issue
910706,@115877 Hi have you cancelled the free food section? I can't find my referral code anywhere on the app?,910705,"@336301 Hi, Megan. Please DM us the city you are located in so we may check on this for you.",Fri Oct 13 18:36:11 +0000 2017,cancellation_issue
1013158,@Uber_Support how can I login https://t.co/2TZsjd60kR,1013156,"@359739 Here to help! For more info, please check this link; https://t.co/S1D4kgPTfO. Thanks!",Sat Oct 14 14:45:22 +0000 2017,account_access_issue
667108,"@Uber_Support Here a fuzzy picture of the trunck (i didn't want to have troubles with the driver, scared of asking to take a picture, i'm a tourist). I did a claim and you replied me that there is nothing wrong. It's normal, the driver has removed two seats.... 2/2 https://t.co/8rMQLpOW7M",667107,@126624 Happy to take a closer look! Send us a DM with your email address so we can follow up.,Thu Nov 23 03:23:04 +0000 2017,uber_eats_issue
2022968,@115873 how do i dispute a charge - ive posted from your site several requests and never get a response?  why do you make such a mystery?,2022967,@598292 We're so sorry about that! Please send us a DM with your email address with details so we can connect.,Thu Nov 02 18:37:58 +0000 2017,fare_or_charge_issue
1495650,@Uber_Support Just sent. __email__,1495652,@467274 Hey there! We've just followed up with you via DM.,Tue Oct 17 01:42:50 +0000 2017,other_support_issue
481093,8/ invoice. If not Please take Action on the Driver.I never expected such a LAME Response from an Organization like @115873 !!! I demand a,481092,@229350 We can definitely take a look! Send us a DM with your email address so we can follow up.,Sun Nov 19 01:30:21 +0000 2017,driver_issue
245584,@154047 @115873 @115877 There needs to be a way to update uber eats when roads/alleys are not passable.,245583,"@174331 We hear ya, Jacki! Thanks for the feedback. We're always working to provide you with new features, so stay tuned.",Thu Oct 05 14:51:21 +0000 2017,uber_eats_issue
2253949,@Uber_Support just been dropped off in your uber an hour ago in the U.K. And lost my phone. Please can you help me thank you,2253948,"@656562 Here to help! Follow up here; https://t.co/Sy2fWIhhC2 , and our team will connect right away.",Sat Nov 11 03:56:25 +0000 2017,other_support_issue
2621317,"@Uber_Support Could you please check on your membership flat fare option. I have the membership, but more than once been charged extra even though I was below the INR 375 limit. I can’t keep writing in for each trip. #mumbai #uber",2621315,"@740666 Sorry for the trouble! Send us a note here, https://t.co/FKBK5sbwQh and our team will be in touch.",Fri Nov 17 15:37:05 +0000 2017,fare_or_charge_issue
2104706,@115873 Can you help,2104705,@621295 Here to help! Send us a note at https://t.co/mSBDsMUeID so our team can connect right away.,Wed Nov 08 12:23:30 +0000 2017,other_support_issue
64292,@Uber_Support nowhere near me,64294,@130750 We're working hard to expand our service area. Stay tuned to our website for updates: https://t.co/Mf9vzZ0uru,Thu Nov 30 08:25:29 +0000 2017,other_support_issue
2054035,"@Uber_Support RMS has sent through Driver Authority, when will you sign off, this has been a 4 mth process. Sydney 0410817576",2054033,"@607493 So sorry to hear about the continued delay, Richard! Please reach out to the RMS directly with any concerns regarding your application.",Fri Oct 06 05:41:19 +0000 2017,driver_issue
2759808,@Uber_Support my uber driver app and uber rider app not functioning for about 10 days.,2759807,@772222 Hi there! Please reach out to https://t.co/QDn91HzZV0 and fill out the 4 boxes at the bottom so we can get in touch.,Tue Nov 21 04:25:41 +0000 2017,driver_issue
729363,"@115873 hi, does uber south Africa have a Twitter account?",729362,@294697 Hi there! We're here to help. Let us know if you have any specific questions or visit https://t.co/GkwMwqpw48 for more info.,Fri Oct 06 18:08:21 +0000 2017,account_access_issue
2972915,"@Uber_Support It's been nearly an hour since I first contacted you in the app, and over 45m since I DM'ed you. I've re-ordered the missing items, and given you the new order number in DMs. Sorry, I couldn't wait any longer, I'm starving!",2972914,"@819419 Sorry for the delay, Paul. We'll be following up via DM shortly!",Thu Nov 30 01:19:45 +0000 2017,uber_eats_issue
1725172,@115873  Uberpool expected fare is 140.but you charged 225 totally not expected this.This is inresponsible with this ride so pls refund my amt https://t.co/hOiGLAlc15,1725171,@521771 Sorry to hear about your experience. Send us a note at; https://t.co/6IqAxVj2X4 so we can assist.,Tue Oct 17 18:51:16 +0000 2017,fare_or_charge_issue
2269842,"@Uber_Support 
Track Uber ride not working, pls chk, I am tracking ride from IGI airportT3, same issue on multiple phones,",2269841,@132484 Thanks for reaching out to us about this. Please DM us the error message you're getting. We look forward to your reply.,Sat Nov 11 08:22:55 +0000 2017,app_or_technical_issue
687016,"@115873 Thanks for incorrectly charging me and only giving me half a refund. (Sarcasm btw) Seriously, I want a full refund.",687015,@284055 We're here to help! Send us a DM with your email address and more details so we can follow up.,Thu Oct 05 20:06:05 +0000 2017,refund_request
2842786,@115877 why can't I order from the mobile website? I can fill my cart...,2842785,@790923 Here to help! Please send us a note here; https://t.co/Hav1JwFfkX so our team can connect right away.,Mon Nov 27 17:20:31 +0000 2017,uber_eats_issue
855194,@Uber_Support Any Update on this ?,855193,"@323113 We just followed up via your in-app support inquiry. Please check your messages in the ""Help"" section of your app for further assistance.",Sun Nov 05 22:25:15 +0000 2017,other_support_issue
30565,@Uber_Support Still waiting. Not happy at all,30566,"@122726 Sorry for the delay, Sam. Our team is looking into this further and will be following up with you shortly!",Wed Nov 01 17:02:53 +0000 2017,app_or_technical_issue
850498,@Uber_Support Y is thr no customer support number?,850497,@322059 Happy to help. Can you DM us your email address associated with your Uber account and the details so we can follow up?,Fri Oct 13 08:17:45 +0000 2017,other_support_issue
2261987,@Uber_Support Anything?,2261988,@657044 We're sorry to hear about the trouble you are having. We currently streamline our support through the app. Your concern has been escalated and a member of our team will be in touch as soon as possible through the app. Please continue to follow up there.,Sat Nov 11 07:30:23 +0000 2017,other_support_issue
1284746,@Uber_Support my mobile number has changed. How do   I change it? I cannot log in as it requires a verification code.,1284745,"@420526 Hello Richard, we're here to help! Send us a note via https://t.co/BDlHSjUF9c so our team can connect.",Mon Oct 16 08:28:04 +0000 2017,account_access_issue
485442,@Uber_Support We have done that and you haven’t answered.,485445,@230490 We're here to help! Send us a DM with your email address so we can assist.,Sat Dec 02 09:12:57 +0000 2017,other_support_issue
2789348,@Uber_Support i keep getting the error bad rider request and i have $ in my account,2789346,@125770 Happy to take a look! Send us a note via https://t.co/41EELX1UeL so our team can connect.,Tue Nov 21 19:37:38 +0000 2017,account_access_issue
1217638,Honestly dont even want to use uber anymore. Customer service takes FOREVER &amp; the app doesn't even work when I follow instructions perfectly,1217636,@402443 Looks like our team has connected with you via our in app support. Please follow up there if you have any questions.,Wed Oct 25 13:43:37 +0000 2017,app_or_technical_issue
1366463,@115873 I got charged twice for one ride I'm trying to get a refund can you help me,1366462,@438093 We can take a look! Send us a note via https://t.co/zJ6aIZinzb so our team can get in touch.,Fri Oct 27 21:43:31 +0000 2017,fare_or_charge_issue
557210,K rude @115877 delivery fee has gone up to £3.50...,557209,@250104 Here to help! Send us a note via https://t.co/NcKEnQDmxQ and we'll be in touch.,Sat Dec 02 20:58:23 +0000 2017,uber_eats_issue
333297,@Uber_Support but he is not understanding my concern,333299,@195391 We will continue communications there moving forward in an effort to keep any communication from being lost.,Sat Oct 07 19:43:49 +0000 2017,other_support_issue
1338908,@Uber_Support How can I switch from an uberX driver/partner to UberEats?,1338907,@432308 We'd be happy to assist you with this! Please DM us the email associated with your partner account and we'll follow up.,Fri Oct 27 15:00:43 +0000 2017,uber_eats_issue
2229829,Why isn’t @115877 a thing in Bristol? I’m needing Chick-fil-A so bad right now.,2229828,@650742 We're working hard to expand our service area. Stay tuned to our website for updates: https://t.co/Mf9vzZ0uru,Fri Nov 10 15:14:20 +0000 2017,other_support_issue
2080774,@Uber_Support do you have the option of using a rental if your primary vehicle is in the shop. If so how do you activate the option.,2080773,"@615324 Happy to help, Eric! See https://t.co/d6xJmPqoGt for more information. Be sure to set your city in the top corner for your local info.",Mon Oct 09 19:35:53 +0000 2017,other_support_issue
2410747,@Uber_Support After waiting at work for forty minutes for the order this happened. I shall never be using uber eats again. https://t.co/7ZW9YfS71B,2410748,"@693136 We're sorry to hear about this order, Disha. If this was an order placed during the promotion we were running with Krispy Kreme, we want you to know we experienced a technical issue. Stay tuned for more fun promotions soon! Reach back out via DM if you have additional questions.",Wed Nov 15 08:50:15 +0000 2017,uber_eats_issue
1086936,@115877 do you make a habit of ignoring customers? I tried to escalate an issue and now I am getting no response!,1086934,@376398 Hi there! We're here to help. Can you please provide us your email address? From there we'll be able to assist further.,Mon Oct 23 18:26:09 +0000 2017,other_support_issue
2170055,"@Uber_Support __email__
7338214009",2170054,@636602 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,Thu Nov 09 04:55:33 +0000 2017,other_support_issue
2055736,@Uber_Support when i invite a friend it is only giving me thai baht when i live in UK. My location is set to UK,2055735,@186491 Hey David - we can look into this with you. Can you please send us a DM with your account email address? https://t.co/sd7yH5jmbJ,Fri Oct 06 18:35:27 +0000 2017,other_support_issue
2809877,uber uber uber eats oNLY HAS MXDONALDS FUCK U PUSSYS @115873 @115877,2809876,@656484 Here to help! Send us a note at https://t.co/NcKEnQDmxQ so our team can connect right away.,Wed Nov 22 06:11:03 +0000 2017,uber_eats_issue
2479165,@115873 I just realized I got charged for missing my Uber pool when the driver wasn’t even at the designated stop.  Not to mention the driver couldn’t/wouldn’t meet me where I needed to be picked up at. #uberproblems #driverflaked,2479164,@562221 We're here to help! Send us a note at https://t.co/1xM0TILvAI so we can assist.,Wed Nov 15 14:52:40 +0000 2017,fare_or_charge_issue
1203554,@115877 officially deleting my app again.,1203553,@402745 We're sorry to hear this was your experience. Contact us via https://t.co/EGiaYE5JMU and we'll be in touch.,Wed Oct 25 13:34:28 +0000 2017,app_or_technical_issue
432406,"@Uber_Support Hey Uber, my town has over 4,500km of roads, and at best, 6 taxis. No bus or trains, please help! Esperance WA 6450",432405,"@217847 We're expanding quickly, so stay tuned for any changes. You can keep up to date with our cities on https://t.co/8wgaNEC17b.",Tue Oct 10 15:11:28 +0000 2017,other_support_issue
